patent_id,title,abstract,claims,description,label
JP2020-002008,多機能バリア積層フィルム,蒸着層と有機バリアコーティングを組み合わせた多層構造により高いバリア性と機械的強度を付与した積層フィルム。,無機酸化物蒸着層を有するポリエチレンテレフタレートフィルムと、エポキシ系有機コーティング層と、ポリビニルアルコール系層を積層してなる多機能バリア積層フィルム。,ポリエチレンテレフタレートフィルム上に酸化アルミニウムを蒸着した後、エポキシ系コーティング液を塗工乾燥した。さらにポリビニルアルコール溶液を重ね塗りして最終的な積層構造を形成した。レトルト処理後の酸素透過率は0.1cc/m2/day/atm以下を達成した。,1
JP2020-002009,ポリアミド系フィルム,ナイロン6を主成分とする延伸フィルム。強度と柔軟性に優れた食品包装用途向け。,ナイロン6を主成分とする二軸延伸フィルム。厚さが10〜30μmである請求項1記載の二軸延伸ナイロンフィルム。,ナイロン6チップを押出成形してキャストフィルムを得た後、縦横方向に延伸してフィルムを薄膜化した。得られたフィルムは引張強度と衝撃強度が高く食品包装に広く使用されている。ガスバリア性はポリエチレンより高いが蒸着バリアフィルムより劣る。,0
JP2020-002010,防錆包装用フィルム,揮発性防錆剤を含む包装フィルムにより金属部品の錆を防ぐ防錆包装フィルム。,揮発性防錆剤を含有する防錆剤含有フィルム層を有する防錆包装フィルム。揮発性防錆剤が亜硝酸ジシクロヘキシルアンモニウムである請求項1記載の防錆包装フィルム。,ポリエチレンフィルムに亜硝酸ジシクロヘキシルアンモニウム（DICHAN）を混練した防錆フィルムを作製した。金属試験片を包んで50℃85%RH環境で保管したところ、未処理フィルムに比べ顕著な防錆効果が認められた。食品包装への使用は不適。,0
JP2020-003001,架橋型PVAバリアコーティングフィルム,エポキシ系架橋剤を含むポリビニルアルコールコーティング液を蒸着フィルム上に塗工した高耐湿性ガスバリアフィルム。,無機酸化物蒸着フィルム上にエポキシ系架橋剤とポリビニルアルコール系樹脂を含むバリアコーティング層を設けてなるガスバリアフィルム。架橋剤の含有量がポリビニルアルコール系樹脂100重量部に対して1〜10重量部である請求項1記載のガスバリアフィルム。,完全ケン化PVA（クラレPVA-124）の5%水溶液にエポキシ系架橋剤（デナコールEX-521）5重量部を添加しコーティング液を調製した。酸化ケイ素蒸着PETフィルム上にバーコーターで塗工し120℃で2分乾燥した。得られたフィルムの酸素透過率は0.2cc/m2/day/atm以下であり高湿度（90%RH）下でもバリア性を維持した。,1
JP2020-003002,シランカップリング剤含有ガスバリアコーティング,シランカップリング剤を配合したポリビニルアルコール系バリアコーティング層により蒸着層との密着性と耐レトルト性を向上させたガスバリアフィルム。,基材フィルムと無機酸化物蒸着層とシランカップリング剤およびポリビニルアルコール系樹脂を含むバリアコーティング層とを有するガスバリアフィルム。シランカップリング剤がビニルトリメトキシシランまたはグリシドキシプロピルトリメトキシシランである請求項1記載のガスバリアフィルム。,PVA水溶液にグリシドキシプロピルトリメトキシシラン（KBM-403）を2重量%添加しコーティング液を作製した。酸化アルミニウム蒸着PETフィルムにグラビアコーターで塗工し乾燥した。135℃30分のレトルト処理後も酸素透過率0.5cc/m2/day/atm以下を維持した。,1
JP2020-003003,酸化アルミニウム蒸着透明バリアフィルム,反応性蒸着法により形成した酸化アルミニウム薄膜と有機バリア層を組み合わせた透明ガスバリアフィルム。,反応性蒸着法で形成した酸化アルミニウム蒸着層を有するポリエステルフィルムと有機バリアコーティング層とを積層してなる透明ガスバリアフィルム。酸化アルミニウム蒸着層の厚さが10〜50nmである請求項1記載の透明ガスバリアフィルム。,電子線蒸着装置にてアルミニウムを酸素雰囲気中で蒸着し厚さ20nmの酸化アルミニウム薄膜をPETフィルム上に形成した。その上にポリビニルアルコール系コーティング液を塗工乾燥した。得られたフィルムは全光線透過率88%以上かつ酸素透過率0.3cc/m2/day/atm以下であった。,1
JP2020-003004,スメクタイト含有高バリアコーティング組成物,合成スメクタイトとポリビニルアルコールを含む高バリア性コーティング組成物およびこれを用いたバリアフィルム。,合成スメクタイトとポリビニルアルコール系樹脂と分散剤とを含有することを特徴とするバリアコーティング組成物。合成スメクタイトの含有量がポリビニルアルコール系樹脂固形分100重量部に対して3〜20重量部である請求項1記載のバリアコーティング組成物。,コープケミカル製ルーセンタイトSWNを8重量%とクラレ製PVA-117（ケン化度98.5モル%）を混合しホモジナイザーで分散してコーティング液を得た。酸化ケイ素蒸着ナイロンフィルム上に塗工乾燥した。酸素透過率は0.15cc/m2/day/atmと極めて優れたバリア性を示した。,1
JP2020-003005,レトルト殺菌対応透明バリア積層フィルム,レトルト殺菌処理（135℃・30分）後においても高いガスバリア性と透明性を維持する積層フィルム。,ポリエチレンテレフタレートフィルム基材上に酸化ケイ素と酸化アルミニウムの共蒸着層を有しその上にポリビニルアルコール系バリアコーティング層を有するレトルト対応透明ガスバリアフィルム。バリアコーティング層にシランカップリング剤を含む請求項1記載のレトルト対応透明ガスバリアフィルム。,共蒸着法でSiO2:Al2O3=8:2（モル比）の混合薄膜120nmをPETフィルム上に形成した後PVA/モンモリロナイト/シランカップリング剤複合コーティング液を塗工した。135℃30分レトルト処理前後の酸素透過率はいずれも0.5cc/m2/day/atm以下であり透明性も維持された。,1
JP2020-003006,高湿度環境対応酸素バリアフィルム,高湿度条件下でも酸素バリア性が低下しにくいバリアフィルムおよびその製造方法。,ポリビニルアルコール系樹脂と架橋剤と無機板状粒子とを含むバリアコート層を基材フィルム上に設けてなる高湿度対応ガスバリアフィルム。架橋剤がイソシアネート系またはエポキシ系である請求項1記載の高湿度対応ガスバリアフィルム。,PVA水溶液にモンモリロナイト5重量%とイソシアネート系架橋剤（タケネートWD-725）3重量%を添加しコーティング液を調製した。OPPフィルム上に塗工乾燥後40℃72時間エージングした。90%RH条件での酸素透過率は1cc/m2/day/atm以下と良好なバリア性を示した。,1
JP2020-003007,ポリビニルアルコール系バリアコーティング液の製造方法,ポリビニルアルコールと無機板状粒子を均一に分散させた高安定性バリアコーティング液の製造方法。,ポリビニルアルコール系樹脂水溶液に無機板状粒子を添加し加熱撹拌して均一なバリアコーティング液を製造する方法。加熱撹拌温度が50〜80℃であり撹拌時間が30〜120分である請求項1記載の製造方法。,PVA（クラレPVA-117）の5%水溶液を60℃に加温しモンモリロナイト（クニミネ工業製クニピア-G）を固形分比で10重量%添加しホモジナイザーで60℃75分撹拌した。得られたコーティング液は3ヶ月経過後も沈降・凝集が見られず安定性が高かった。このコーティング液を用いてガスバリアフィルムを作製したところ優れたバリア性を示した。,1
JP2020-003008,カオリナイト分散PVAバリアフィルム,カオリナイトをポリビニルアルコール系樹脂に均一分散させたバリアコーティング層を有するガスバリアフィルム。,ポリビニルアルコール系樹脂とカオリナイトとを含むバリアコーティング層を無機酸化物蒸着フィルム上に設けてなるガスバリアフィルム。カオリナイトのアスペクト比が10以上でありポリビニルアルコール系樹脂100重量部に対して2〜15重量部含有される請求項1記載のガスバリアフィルム。,表面処理カオリナイト（BASF製ハイドロプラストS）8重量%をPVA水溶液に分散させコーティング液を作製した。酸化ケイ素蒸着PETフィルム上にグラビアコーターで乾燥後塗工量0.8g/m2となるよう塗工した。酸素透過率は0.4cc/m2/day/atm以下を示した。,1
JP2020-003009,マイカ含有複合バリアフィルム,フッ素化マイカをポリビニルアルコール系樹脂中に分散させたナノコンポジットバリア層を有するガスバリアフィルム。,無機酸化物蒸着基材フィルムとフッ素化マイカおよびポリビニルアルコール系樹脂を含む複合バリアコーティング層とを有するガスバリアフィルム。フッ素化マイカのアスペクト比が50以上である請求項1記載のガスバリアフィルム。,コープケミカル製ソマシフME-100（フッ素化マイカ）5重量%とPVA-124の5%水溶液を混合し高速撹拌機で均一なコーティング液を調製した。酸化アルミニウム蒸着PETフィルム上に塗工乾燥した。得られたフィルムの酸素透過率は0.1cc/m2/day/atm以下の超高バリア性を示した。,1
JP2020-003010,プライマー層付きガスバリアフィルム,蒸着層とバリアコーティング層の間にプライマー層を設けることで密着性と耐屈曲性を向上させたガスバリアフィルム。,基材フィルムと無機酸化物蒸着層とポリウレタン系プライマー層とポリビニルアルコール系バリアコーティング層をこの順に有するガスバリアフィルム。プライマー層の乾燥後塗工量が0.05〜0.5g/m2である請求項1記載のガスバリアフィルム。,PETフィルムに酸化ケイ素を電子線蒸着した後ポリウレタン系プライマー（0.1g/m2乾燥）を塗工し次いでPVA/モンモリロナイトコーティング液を塗工乾燥した。MIT耐折試験100回後の酸素透過率変化率は10%以内と良好な耐屈曲性を示した。,1
JP2020-003011,ゾルゲル法無機有機ハイブリッドバリアコーティング,ゾルゲル法で合成した無機有機ハイブリッドシリカとポリビニルアルコール系樹脂を組み合わせたバリアコーティング。,ゾルゲル反応で得た無機有機ハイブリッドシリカとポリビニルアルコール系樹脂とを含むハイブリッドバリアコーティング層を基材フィルム上に設けてなるガスバリアフィルム。テトラエトキシシランの加水分解縮合物を含む請求項1記載のガスバリアフィルム。,テトラエトキシシラン（TEOS）を酸触媒存在下で加水分解しPVA水溶液と混合してハイブリッドコーティング液を調製した。酸化ケイ素蒸着PETフィルム上に塗工し150℃で熱処理した。得られたフィルムは酸素透過率0.2cc/m2/day/atm以下と高バリア性を示した。,1
JP2020-003012,バリアフィルムの積層体および包装袋,高バリア性フィルムとヒートシール層フィルムを積層した包装袋用積層体。,ガスバリア性積層フィルムとヒートシール性フィルムとをドライラミネートで貼り合わせてなる積層体であって食品包装袋を構成する積層体。ガスバリア性積層フィルムの酸素透過率が1cc/m2/day/atm以下である請求項1記載の積層体。,酸化ケイ素蒸着PETフィルム（バリア層酸素透過率0.5cc/m2/day/atm以下）と直鎖状低密度ポリエチレンフィルム（70μm）をウレタン系接着剤でドライラミネートした。三方シール製袋し内容物を充填しレトルト処理後も酸素透過率1cc/m2/day/atm以下を維持した。,1
JP2020-003013,水蒸気バリア性向上ガスバリアフィルム,無機酸化物蒸着層とPVA系バリア層の上に疎水性コーティングを設けることで水蒸気バリア性を向上させたガスバリアフィルム。,無機酸化物蒸着層を有する基材フィルムにポリビニルアルコール系バリアコーティング層と疎水性樹脂層とをこの順に積層してなる複合ガスバリアフィルム。疎水性樹脂層がポリビニリデンクロライドまたはアクリル系樹脂を含む請求項1記載の複合ガスバリアフィルム。,SiOx蒸着PETフィルムにPVA/モンモリロナイトコーティング液を塗工後さらにアクリル系疎水性コーティング剤を重ね塗りした。得られたフィルムの水蒸気透過率は0.3g/m2/day以下でありPVA単層に比べて水蒸気バリア性が大幅に向上した。,1
JP2020-004001,発泡ポリスチレン製食品容器,軽量で断熱性に優れた食品包装用発泡ポリスチレン容器の製造方法。,発泡ポリスチレンシートを熱成形してなる食品容器であって密度が0.04〜0.12g/cm3である食品容器。容器内面に防油性コーティングを施した請求項1記載の食品容器。,ポリスチレン樹脂にブタンを発泡剤として配合し押出機で発泡シートを成形した。厚さ2mmの発泡シートを真空成形機で弁当箱形状に成形した。得られた容器は断熱性に優れ電子レンジ使用不可の制約があるが低コストで大量生産に適する。,0
JP2020-004002,熱収縮性ポリエステルラベルフィルム,飲料容器等に使用する高収縮性のポリエステル系ラベルフィルムとその製造方法。,熱収縮性ポリエステル系樹脂からなるラベルフィルムであって主収縮方向の収縮率が70%以上であるラベルフィルム。収縮開始温度が60〜80℃である請求項1記載のラベルフィルム。,テレフタル酸とエチレングリコールおよびネオペンチルグリコールを共重合したポリエステル樹脂を溶融押出しし一軸延伸して熱収縮性フィルムを得た。PETボトルに装着し90℃スチームトンネルで収縮させた。収縮率78%と良好な外観を示した。,0
JP2020-004003,シリコーン系剥離フィルム,各種粘着テープや粘着ラベルの剥離紙に使用するシリコーン系剥離フィルムとその製造方法。,基材フィルムにシリコーン系剥離剤を塗布乾燥してなる剥離フィルム。剥離力が5〜50mN/cmである請求項1記載の剥離フィルム。,PETフィルム（38μm）に付加型シリコーン剥離剤（信越化学KS-847H）を0.1g/m2で塗工し130℃で30秒硬化させた。得られた剥離フィルムはアクリル系粘着剤との剥離力が15mN/cmであり残留接着率98%以上と良好であった。,0
JP2020-004004,UV硬化型ハードコートフィルム,紫外線硬化型コーティング剤を塗工した高硬度・耐傷性フィルム。光学部材やタッチパネル等に使用。,基材フィルム上に紫外線硬化型アクリレート系コーティング層を設けてなるハードコートフィルム。コーティング層の鉛筆硬度が3H以上である請求項1記載のハードコートフィルム。,PETフィルムにペンタエリスリトールトリアクリレート系紫外線硬化型コーティング液を塗工しUV照射（積算光量300mJ/cm2）で硬化させた。鉛筆硬度4H・スチールウール耐傷性は良好で光学用途に適した。,0
JP2020-004005,フレキシブルディスプレイ用透明基板フィルム,折り曲げ可能な有機ELデバイスに用いる高透明・低線熱膨張フィルム基板。,ポリイミド系樹脂からなる透明フィルム基板であって全光線透過率が88%以上かつ線熱膨張係数が20ppm/K以下であるフレキシブル基板フィルム。,4-アミノフェニルエーテルとピロメリット酸二無水物を縮合重合してポリイミド前駆体（ポリアミック酸）を合成した。ガラス基板上にキャストし350℃でイミド化したところ全光線透過率89%・線熱膨張係数15ppm/Kの透明フレキシブルフィルムを得た。,0
JP2020-004006,太陽電池用EVA封止フィルム,太陽電池モジュールの封止材として用いるエチレン-酢酸ビニル共重合体フィルム。,エチレン-酢酸ビニル共重合体を主成分とする太陽電池封止用フィルムであって酢酸ビニル含量が25〜35重量%である封止フィルム。架橋助剤を含み架橋度が80%以上である請求項1記載の封止フィルム。,酢酸ビニル含量28重量%のEVA樹脂に有機過酸化物架橋剤とシランカップリング剤を配合し押出成形した。太陽電池セルを挟みガラス基板とバックシートとで真空ラミネートし架橋させた。耐候性試験1000時間後も外観変化なく高い信頼性を示した。,0
JP2020-004007,農業用ポリオレフィン系マルチフィルム,土壌保温・雑草抑制を目的とした農業用マルチフィルムとその製造方法。,ポリエチレン系樹脂を主成分とする農業用マルチフィルムであって厚さが15〜30μmである農業用マルチフィルム。光分解性添加剤を含む請求項1記載の農業用マルチフィルム。,線状低密度ポリエチレンに光分解促進剤（プロ-オキシダント）と光安定剤を配合しTダイ押出で厚さ20μmのフィルムを成形した。露地農地でのイチゴ栽培試験で雑草抑制率95%以上かつ収穫後2ヶ月で自然崩壊した。,0
JP2020-004008,抗菌性包装フィルム,銀系無機抗菌剤を含有する抗菌性包装フィルムとその製造方法。,抗菌性無機粒子を含有する樹脂層を有する抗菌性包装フィルム。抗菌性無機粒子が銀担持ゼオライトである請求項1記載の抗菌性包装フィルム。,銀担持ゼオライト（シナネンゼオミック）をポリプロピレン樹脂にマスターバッチで2%配合しTダイ押出でフィルム化した。JIS Z2801に準拠した抗菌性試験で大腸菌・黄色ブドウ球菌に対する抗菌活性値はいずれも2.0以上と良好であった。,0
JP2020-004009,透明導電性ITO薄膜フィルム,スパッタリング法で形成したITO薄膜を有する透明導電フィルム。タッチパネルや有機EL用途向け。,インジウム-スズ酸化物薄膜をスパッタリング法で成膜したポリエステルフィルム基材からなる透明導電フィルム。表面抵抗値が100Ω/sq以下である請求項1記載の透明導電フィルム。,PETフィルム上にDCマグネトロンスパッタリングでITO薄膜（膜厚25nm）を成膜した。得られたフィルムの表面抵抗は80Ω/sq全光線透過率85%であった。150℃アニール処理により表面抵抗は50Ω/sqに改善した。,0
JP2020-004010,偏光板保護用トリアセチルセルロースフィルム,液晶ディスプレイ偏光板の保護フィルムとして使用するトリアセチルセルロースフィルム。,セルロースアセテートを主成分とし平均酢化度が59〜62%であるトリアセチルセルロースフィルム。複屈折が1×10-4以下である請求項1記載のトリアセチルセルロースフィルム。,トリアセチルセルロース（置換度2.90）をジクロロメタン/メタノール混合溶媒に溶解しドクターブレードでキャストし乾燥した。厚さ80μmのフィルムは全光線透過率93%複屈折0.0001以下と光学的に優れた特性を示した。,0
JP2020-004011,真空断熱パネル用外包材,真空断熱パネルの外包材として使用する高バリア・高強度積層体。,アルミニウム蒸着フィルムとナイロンフィルムとポリエチレンフィルムとを積層してなる真空断熱パネル用外包材。アルミニウム蒸着層を2層以上有する請求項1記載の外包材。,ON/AL蒸着PET/AL蒸着PET/LLDPEの4層構成でドライラミネートした外包材を作製した。シリカ粉末を芯材として真空断熱パネルに成形した。熱伝導率は0.003W/mKと高い断熱性能を示した。ガスバリア性は酸素透過率0.001cc/m2/day/atm以下で長期性能維持に寄与した。,0
JP2020-004012,ブリスターパック用PVC成形フィルム,医薬品・食品のブリスターパックに使用するポリ塩化ビニル系成形フィルム。,ポリ塩化ビニル樹脂を主成分とし厚さが150〜300μmである成形用フィルム。可塑剤含量が10重量%以下である請求項1記載の成形用フィルム。,ポリ塩化ビニル樹脂に安定剤と可塑剤（DOP）8重量%を配合しカレンダー成形で厚さ200μmのフィルムを製造した。錠剤ブリスター成形試験で良好な成形性と密封性を確認した。フタル酸系可塑剤の削減が業界課題となっている。,0
JP2020-004013,ホットメルト接着剤塗工フィルム,基材フィルムにホットメルト接着剤を塗工した接着テープ用フィルム。,基材フィルムの一方の面にホットメルト接着剤層を設けてなる接着フィルム。ホットメルト接着剤がスチレン-イソプレン-スチレンブロック共重合体を主成分とする請求項1記載の接着フィルム。,PETフィルム（25μm）にSIS系ホットメルト接着剤（軟化点85℃）をスロットダイコーターで20g/m2塗工した。得られた接着フィルムの接着力は90°ピール試験で15N/25mm以上であった。,0
JP2020-004014,帯電防止包装フィルム,電子部品の包装に使用する帯電防止性を付与した包装フィルム。,高分子型帯電防止剤を含む帯電防止層を有する包装フィルム。表面固有抵抗値が10の8乗Ω以下である請求項1記載の帯電防止包装フィルム。,PETフィルム上にポリエーテルアミド系高分子帯電防止剤（パナテトラWK-34）を塗工し乾燥した。表面固有抵抗値は10の7乗Ωで常温常湿から低湿度まで安定した帯電防止性を示した。電子デバイスのキャリアテープ用途に適する。,0
JP2020-004015,二軸延伸ポリプロピレン蒸着フィルム,OPPフィルムにアルミニウムを蒸着した遮光性高バリアフィルム。お菓子等の包装に使用。,二軸延伸ポリプロピレンフィルムにアルミニウムを蒸着してなる金属蒸着フィルム。アルミニウム蒸着層の光学濃度が1.5〜3.0である請求項1記載の金属蒸着フィルム。,OPPフィルム（20μm）にプライマーを塗工後アルミニウムを真空蒸着した。光学濃度2.2のアルミ蒸着OPPフィルムが得られ酸素・水蒸気バリア性・遮光性に優れスナック菓子包装に適した。ただし不透明で電子レンジ使用不可の制限がある。,0
JP2020-004016,リチウムイオン電池用セパレータフィルム,リチウムイオン電池の正負極を隔離するポリオレフィン系微多孔フィルム。,ポリエチレンを主成分とする微多孔フィルムからなるリチウムイオン電池用セパレータ。孔径が0.05〜0.5μmであり空孔率が35〜55%である請求項1記載のセパレータ。,超高分子量ポリエチレンを流動パラフィンに分散させTダイ押出しした後延伸して流動パラフィンを抽出除去し微多孔フィルムを作製した。得られたフィルムは透気度150秒/100mL孔径0.1μm空孔率45%であり電池セパレータとして良好な特性を示した。,0
JP2020-004017,食品グレード脱酸素剤内包包装材,脱酸素剤を封入したフィルムパウチにより食品を無酸素雰囲気で保存する包装材。,脱酸素剤を内包するパウチと食品を収容するバリア外袋とからなる食品保存用包装材。脱酸素剤が鉄粉系である請求項1記載の食品保存用包装材。,通気性フィルムパウチに鉄粉系脱酸素剤（エージレス）を封入し食品と共にバリア性外袋に収納した。外袋内酸素濃度は封入後24時間で0.1%以下となりスナック菓子の賞味期限を3倍以上延長できた。ガスバリアフィルムとの組み合わせで酸素管理をおこなう方式。,0
JP2020-004018,共押出多層ストレッチフィルム,生鮮食品や精肉のトレー包装に使用する自己粘着性共押出多層ストレッチフィルム。,エチレン-酢酸ビニル共重合体層とポリオレフィン層とを共押出成形してなる多層ストレッチフィルム。23℃における弾性回復率が70%以上である請求項1記載のストレッチフィルム。,EVA（酢酸ビニル15%）とLLDPEとを共押出Tダイ法で3層フィルム化した。得られたフィルムは自己粘着性があり精肉トレーへの手動ラップが容易であった。酸素透過率は5000cc/m2/day/atmと鮮度保持のための適度なガス透過性を有する。,0
JP2020-004019,ガラス繊維強化熱可塑性複合フィルム,ガラス繊維織物を熱可塑性樹脂で含浸した高強度・軽量な複合フィルム材料。,ガラス繊維織物に熱可塑性樹脂を含浸させてなる繊維強化複合フィルム。引張強度が500MPa以上である請求項1記載の繊維強化複合フィルム。,平織ガラスクロス（旭シュエーベル製）にポリプロピレン樹脂フィルムを重ねて加熱加圧して含浸複合化した。引張強度550MPa曲げ強度420MPaと高い機械特性を示し航空・車載部材用途に適した。,0
